timestamp,reg_40001_hex,reg_40002_hex,reg_40003_hex
2026-06-30 09:00:00,8ACB,4017,01C3
2026-06-30 09:00:01,AC10,402D,01C2
2026-06-30 09:00:02,30CC,4030,01C5
2026-06-30 09:00:03,F1BB,4012,01C4
2026-06-30 09:00:04,75AE,4018,01BF
2026-06-30 09:00:05,FB0C,4028,01C3
2026-06-30 09:00:06,97BD,4035,01C6
2026-06-30 09:00:07,D362,4022,01C6
2026-06-30 09:00:08,DD84,4020,01C4
2026-06-30 09:00:09,FDC7,4018,01C5
2026-06-30 09:00:10,2A5F,4029,01C3
2026-06-30 09:00:11,6905,4011,01C2
2026-06-30 09:00:12,4923,400E,01C3
2026-06-30 09:00:13,DA96,4031,01C3
2026-06-30 09:00:14,6459,4022,01C1
2026-06-30 09:00:15,F3ED,4020,01C4
2026-06-30 09:00:16,B315,4002,01C4
2026-06-30 09:00:17,4FDC,4029,01C4
2026-06-30 09:00:18,5955,4016,01C1
2026-06-30 09:00:19,92C6,4029,01C2
2026-06-30 09:00:20,6845,3FF6,01C0
2026-06-30 09:00:21,AB62,401E,01C3
2026-06-30 09:00:22,A9FE,4017,01C4
2026-06-30 09:00:23,FC6D,4037,01C3
2026-06-30 09:00:24,9BB8,4015,01C6
2026-06-30 09:00:25,E9A4,4024,01C1
2026-06-30 09:00:26,3782,4017,01C3
2026-06-30 09:00:27,0F5E,401A,01C4
2026-06-30 09:00:28,E1A0,401F,01C4
2026-06-30 09:00:29,DC3A,402C,01C2
2026-06-30 09:00:30,DF42,4029,01C6
2026-06-30 09:00:31,8236,401C,01C5
2026-06-30 09:00:32,683D,4015,01C4
2026-06-30 09:00:33,67EB,401E,01C3
2026-06-30 09:00:34,9C2B,403A,01C4
2026-06-30 09:00:35,8144,3FFF,01C4
2026-06-30 09:00:36,14C0,4023,01C3
2026-06-30 09:00:37,D272,4021,01C3
2026-06-30 09:00:38,AF19,4021,01C3
2026-06-30 09:00:39,3592,4000,01C3
2026-06-30 09:00:40,43CF,400E,01C5
2026-06-30 09:00:41,83A0,401F,01C3
2026-06-30 09:00:42,7CC9,4038,01C6
2026-06-30 09:00:43,AE5B,4017,01C4
2026-06-30 09:00:44,ACEC,4025,01C4
2026-06-30 09:00:45,3756,4013,01C4
2026-06-30 09:00:46,ABE1,401D,01C4
2026-06-30 09:00:47,4641,4026,01C4
2026-06-30 09:00:48,16D3,4009,01C4
2026-06-30 09:00:49,9377,4028,01C6
2026-06-30 09:00:50,9CA9,400B,01C1
2026-06-30 09:00:51,805A,4030,01C2
2026-06-30 09:00:52,F43C,402F,01C1
2026-06-30 09:00:53,1C3A,402A,01C4
2026-06-30 09:00:54,EE70,4027,01C4
2026-06-30 09:00:55,D30A,4011,01C7
2026-06-30 09:00:56,40DD,401D,01C4
2026-06-30 09:00:57,5E37,400F,01C3
2026-06-30 09:00:58,25E0,400C,01C6
2026-06-30 09:00:59,C403,4006,01C4
2026-06-30 09:01:00,0C96,4018,01C8
2026-06-30 09:01:01,C766,4026,01C5
2026-06-30 09:01:02,F7A3,4027,01C6
2026-06-30 09:01:03,B097,4024,01C4
2026-06-30 09:01:04,16EC,4009,01C6
2026-06-30 09:01:05,D1F2,402D,01C2
2026-06-30 09:01:06,2946,4011,01C3
2026-06-30 09:01:07,1316,4029,01C4
2026-06-30 09:01:08,D757,4009,01C3
2026-06-30 09:01:09,4922,4037,01C6
2026-06-30 09:01:10,AD13,4032,01C4
2026-06-30 09:01:11,47D4,4021,01C7
2026-06-30 09:01:12,B2D7,400C,01C7
2026-06-30 09:01:13,2B39,403D,01C4
2026-06-30 09:01:14,A6B7,403D,01C5
2026-06-30 09:01:15,1AE2,401B,01C7
2026-06-30 09:01:16,E8C8,4012,01C5
2026-06-30 09:01:17,4C61,4005,01C3
2026-06-30 09:01:18,FC40,4004,01C5
2026-06-30 09:01:19,677E,4006,01C8
2026-06-30 09:01:20,3FCA,4032,01C4
2026-06-30 09:01:21,8F3A,401E,01C6
2026-06-30 09:01:22,D539,402F,01C5
2026-06-30 09:01:23,89E0,4009,01CC
2026-06-30 09:01:24,E1A0,4008,01C6
2026-06-30 09:01:25,D378,4019,01C4
2026-06-30 09:01:26,54CB,401C,01C8
2026-06-30 09:01:27,D02B,4035,01C5
2026-06-30 09:01:28,1717,4004,01C4
2026-06-30 09:01:29,6701,4037,01C5
2026-06-30 09:01:30,35F6,4029,01C7
2026-06-30 09:01:31,1346,4015,01C4
2026-06-30 09:01:32,BECD,4014,01C6
2026-06-30 09:01:33,C437,4023,01C8
2026-06-30 09:01:34,8EB5,4030,01C4
2026-06-30 09:01:35,7817,4008,01C5
2026-06-30 09:01:36,5BE5,4028,01C5
2026-06-30 09:01:37,02EB,4021,01C6
2026-06-30 09:01:38,96C2,401D,01C7
2026-06-30 09:01:39,F004,401B,01C7
2026-06-30 09:01:40,AC25,4004,01C3
2026-06-30 09:01:41,EFC4,3FEF,01C7
2026-06-30 09:01:42,DEBF,401E,01C5
2026-06-30 09:01:43,D601,402D,01C6
2026-06-30 09:01:44,748F,4011,01C9
2026-06-30 09:01:45,0572,402D,01C7
2026-06-30 09:01:46,9A85,400F,01C6
2026-06-30 09:01:47,2298,3FD3,01C6
2026-06-30 09:01:48,DB7F,4017,01C7
2026-06-30 09:01:49,A531,400E,01C6
2026-06-30 09:01:50,128B,4035,01C4
2026-06-30 09:01:51,963E,4023,01C7
2026-06-30 09:01:52,9A18,4023,01C3
2026-06-30 09:01:53,F03A,4033,01C9
2026-06-30 09:01:54,F65C,4023,01C7
2026-06-30 09:01:55,A83B,4038,01C7
2026-06-30 09:01:56,17F7,401F,01C7
2026-06-30 09:01:57,BB1D,4029,01C7
2026-06-30 09:01:58,7743,4010,01C6
2026-06-30 09:01:59,4E47,400F,01C7
2026-06-30 09:02:00,6239,4033,01C5
2026-06-30 09:02:01,6A49,402E,01C7
2026-06-30 09:02:02,110F,4014,01C7
2026-06-30 09:02:03,5A86,4025,01CA
2026-06-30 09:02:04,F16D,400D,01C7
2026-06-30 09:02:05,8917,4025,01C8
2026-06-30 09:02:06,CB1A,402C,01C9
2026-06-30 09:02:07,123F,401E,01C7
2026-06-30 09:02:08,46BC,4015,01CA
2026-06-30 09:02:09,52D5,4024,01C8
2026-06-30 09:02:10,2AE1,4012,01C8
2026-06-30 09:02:11,446B,4032,01C8
2026-06-30 09:02:12,547D,402D,01C8
2026-06-30 09:02:13,76D4,4018,01C9
2026-06-30 09:02:14,FA13,3FF6,01C7
2026-06-30 09:02:15,9EBF,401D,01C8
2026-06-30 09:02:16,F454,403E,01CA
2026-06-30 09:02:17,3377,4031,01CC
2026-06-30 09:02:18,DFC5,401E,01CB
2026-06-30 09:02:19,090F,401D,01C9
2026-06-30 09:02:20,9568,4008,01CA
2026-06-30 09:02:21,00F7,402E,01C8
2026-06-30 09:02:22,1FCD,401E,01C9
2026-06-30 09:02:23,5B39,4020,01C6
2026-06-30 09:02:24,905F,4018,01C7
2026-06-30 09:02:25,994E,4025,01C8
2026-06-30 09:02:26,4F7D,4029,01CB
2026-06-30 09:02:27,7E7E,4010,01C6
2026-06-30 09:02:28,1F82,4012,01C6
2026-06-30 09:02:29,F7AD,401C,01C8
2026-06-30 09:02:30,A3CF,4000,01C9
2026-06-30 09:02:31,EB80,4023,01C9
